cell_id,s1_2050,s2_2050,s3_2050,s4_2050,mf2050,polf2050,secf2050,susf2050
GLR_131,65.1705498501,59.1893611408,46.0728024964,25.487170253,833.5797408138,833.5797408138,833.5797408138,833.5797408138
GLR_133,769.3265052986,764.2051132992,716.7159079387,628.1937018015,1555.08681199,1555.08681199,1555.08681199,1555.08681199
GLR_134,1514.3559934908,1525.4558071788,1577.1966258108,1568.8319473905,1306.222206384,1306.222206384,1306.222206384,1306.222206384
GLR_135,591.6970835477,600.2350544335,619.7922690759,619.7922690759,213.849452988,213.849452989,193.481700955,213.849452989
GLR_138,685.2401699787,773.1690270837,841.1877542688,772.4632999688,613.930908232,529.747697019,575.9611704731,530.0266714104
GLR_139,0,0,30.0393891479,28.2220196713,47.004267267,831.5044228827,1396.4587254677,831.5044228826
GLR_142,114.5661057941,136.5443452979,277.5465922758,274.375131092,0,0,0,0
GLR_144,567.6051962453,754.7805668967,872.6508390806,1040.0508332816,0,0.041048487,73.4169121921,73.4169121925
GLR_152,0,0,103.4989845099,98.1153906788,429.712497864,429.712497864,538.7215687905,429.712497864
GLR_199,3.8297102606,0.7795281629,3.8305445412,3.8305445412,0,0,82.9059526232,67.7221799957
GLR_200,9.1544029311,9.0248548515,6.8509654271,0.2896466982,484.6978844392,604.1746647845,481.5481209807,604.1746647841
GLR_211,735.988028743,735.2631781459,730.7993438639,722.7399827812,0,0.5966809781,134.4178306031,60.7920693893
GLR_226,321.9818774805,321.9818774805,321.9818774805,321.9818774805,0,0,135.5510246062,0
GLR_229,1429.1147244271,1429.1147244271,1429.1147244271,1429.1147244271,0,0,9.1169777799,0
GLR_277,0,0,0,0,29.3346289123,29.3346289123,728.5413712697,164.4932638565
GLR_278,22.2242208339,22.2242285907,89.3594788516,91.9184087877,1.5576073994,1.5576073994,8.380813663,1.5576073994
GLR_279,0,0,0,0,6434.017347464,8924.2569655952,707.084876711,2180.214996905
GLR_281,0,0,0,10.2918910723,0,88.5633872106,88.5633872106,88.5633872106
GLR_282,1124.254463057,1126.3617402385,1264.4821596069,1299.6159869379,872.730118449,1156.678163216,1529.9181678153,1156.678163216
GLR_283,884.1472542061,892.6207971282,929.6925148483,910.1519082365,26.8484943935,189.6000997245,497.7156054302,273.3473134045
GLR_284,1213.8324348629,1213.8324348629,1236.0545191658,1276.5060565905,2228.811254755,3100.7207703399,912.434053472,2634.388195084
GLR_285,1273.6241194478,1273.6240623845,1274.4383232494,1301.3955321304,0,0,0,0
GLR_286,416.5088177383,417.0257169879,916.4400786501,893.6539456442,34.6671498066,141.0865846326,81.2097303614,141.0865846324
GLR_287,360.3645172801,363.2700800896,398.7455967151,414.5521159775,0,0,0,0
GLR_288,1600.0065562184,1629.0792045884,2216.58004958,2396.7386939909,0,0.3247798525,0.000000001,0
GLR_289,577.1584194793,592.0301329543,670.0547145989,789.7622253864,0,0,0,0
GLR_290,984.1225218646,1041.5697912521,1712.822930516,1782.8960955007,0,0,0,0
GLR_291,0,0,0,51.2220707848,0,4.2840444894,4.2840444894,4.2840444894
GLR_292,877.1504108575,859.243409201,1005.0920146712,991.5632935678,0,0,1.00044417195022E-011,1.00044417195022E-011
GLR_293,776.931530204,780.8592634558,982.6792400973,1038.0354317661,0,0,0,0
GLR_294,1788.3664923795,1788.3664923795,1785.8045304358,1782.3885988127,0,0,0,0
GLR_295,1046.6774889274,1047.5315166702,1062.0773096484,1056.8777203691,0,83.2604469414,144.6567016014,144.6567016014
GLR_296,0,0,215.6553285208,173.7434868851,0,245.601155284,245.6011552841,245.6011552847
GLR_297,1239.7715730764,1239.69585049,1256.5157010983,1289.9674834881,82.8539297448,166.6992569848,166.6992569938,166.6992569888
GLR_298,0,0,0,0,0,0,0,151.426858958
GLR_299,3096.0211460145,3096.274378767,3231.0827430368,3232.65270634,9.493707491,194.6413052541,194.6413052541,194.6413052541
GLR_300,4195.5156588549,4246.924115703,6082.0641050332,6497.8583608899,0,108.7665010376,108.7665010369,108.7665010372
GLR_301,0,0,107.3483912969,112.8161179181,0,847.4639971145,1183.4586818735,1100.4093487743
GLR_302,0,0,0,0,62.916208859,499.5818231436,1003.5044340126,499.581823145
GLR_303,118.3311065304,116.6225864226,136.0188305772,132.0069136883,66.3921851934,311.8230450648,311.8230450653,311.8230450648
GLR_304,0,0,0,0,0,436.2696872367,664.315537385,436.2696872367
GLR_305,706.2043304058,706.7450937987,796.6497492777,811.8477626142,0,87.0657263863,0,87.0657263857
GLR_306,25.3248639211,25.3248147402,84.7985934325,86.7367531945,136.29978578,265.5521935619,180.3255286972,265.5521935621
GLR_307,0,0,0,0,0,331.248668675,920.430882906,478.151442774
GLR_308,0,0,0,0,0,49.419374692,44.6360139693,50.5030198313
GLR_309,3489.8027375816,3489.3509813275,3741.1764966148,3718.7253484285,0,0,0,0
GLR_310,734.7778223724,721.1901748792,1015.5706776387,765.1749214897,0,170.3087874439,170.3087874439,170.3087874439
GLR_311,0,0,0,0,0,154.4887634448,176.3412073928,176.3412073926
GLR_312,2300.3006778457,2296.8928077936,2302.70497021,2317.0383517188,0,0,426.2049719622,0
GLR_313,865.0205753794,833.9454565233,1508.5224810297,1207.0917177058,0,130.8276872769,81.0967635058,130.8276872772
GLR_314,0,0,0,0,0,350.1056751888,515.8489792449,433.0074419729
GLR_315,0,0,0,0,1073.064205749,1073.064205749,1102.5727199914,1073.064205749
GLR_316,567.8611513254,567.8611513254,558.0287180639,538.3686756653,0,0,0,0
GLR_317,1111.7544147383,1104.5029533953,1151.7623625283,970.3294453407,0,0,0,0
GLR_318,10.3959683859,10.7303707651,13.595020963,13.5657804988,469.370271065,469.370271065,0,469.370271065
GLR_319,0,0,0,0,28.6174127335,28.6174127335,63.4175138592,28.6174127335
GLR_320,0,0,0,0,0,0,0,0
GLR_321,6.8493360249,6.8493360249,6.6269269486,6.8499103072,0,0,0,0
GLR_322,27.5288906276,32.3489601516,36.5155431969,36.5155431969,79.98001793,79.98001793,0,79.98001793
GLR_323,0,0,0,0,0,0,0,0
GLR_324,399.2518857372,378.8270910269,514.9871704528,445.001616909,1395.5862478985,1576.2012239596,541.2908899867,541.2908899894
GLR_325,3453.0607761593,3410.5526490043,4591.6365440057,4237.9748348228,524.576073273,524.2155265901,0.3605466841,517.7150911521
GLR_326,264.7404285083,259.9430325103,614.4911373855,583.481933635,209.322018439,0,0,3.3159729307
GLR_327,200.6606212543,204.9302367923,394.3822321023,376.4001394191,74.8246830283,2.1808922374,135.2784978163,74.8246830284
GLR_328,212.9801686934,212.9801686934,214.6102224694,211.8153330123,1376.6745512792,1317.9835900212,371.1493500891,826.2276595122
GLR_329,0,0,0,0,0,0,0,0
GLR_330,0,0,0,0,85.7478958686,85.7478958686,16.9378379874,85.7478958686
GLR_331,0,0,0,0,96.2169632282,88.3328519822,12.515987885,180.4001744414
GLR_332,0,0,0,0,52.2567780434,52.2567780434,0,52.2567780434
GLR_333,0,0,0,0,269.638924431,269.638924431,0,144.716177237
GLR_334,19.6614766466,19.6395036455,53.1615234527,6.9365305727,122.706304686,122.706304686,0,122.706304686
GLR_335,595.0129420342,592.4492228252,579.3728870088,543.8448120773,0,0,0,0
GLR_337,0,0,0,0,0,0,0,0
GLR_338,6.7132832052,6.7132832052,6.1154048508,5.1120952735,26.1305528545,26.1305528545,0,26.1305528545
GLR_339,0,0,0,0,0,95.6021202386,0,0
GLR_340,263.0288464251,263.0288464251,247.42444941,245.7148815126,252.067012494,252.067012494,0,252.067012494
GLR_341,155.9128937612,155.9128937612,150.8416005516,150.8416005516,0,53.1378071706,0,0
GLR_342,2173.8593046248,2186.405032839,2369.9066640881,2375.4934891573,668.474801834,1192.2862569754,0,519.6725215404
GLR_343,1849.4418752542,1847.7070552542,1858.3687204695,1771.4711292071,0,0,0,0
GLR_344,0,0,0,0,16.4498532725,16.4498532725,0,0
GLR_346,1068.0641361325,1071.3777908575,1084.749180426,1062.0479903538,0,83.8916639443,0,0
GLR_348,1349.3725226065,1345.9534223265,1328.0035609336,1299.4995434836,268.968894365,268.968894365,0,0
GLR_349,495.1678894275,496.0225720635,512.6662738853,532.3240774024,0,0,0,0
GLR_351,93.7708733429,93.7708733429,93.7708733429,93.7708733429,1072.29114349,1072.29114349,0,1072.29114349
GLR_352,30.9927265309,33.5450849308,53.7296416127,54.2764176757,866.290407752,866.290407752,0,736.450737141
GLR_355,189.0423041279,189.0423041279,189.0423041279,189.0423041279,375.307691249,375.307691249,0,375.307691249
GLR_359,34.7568259187,34.7568259187,34.7568259187,34.7568259187,609.76153516,609.76153516,0,102.189395762
GLR_361,123.5019334777,108.9133674709,82.423691287,11.6964020691,499.135813692,499.135813692,0,499.135813692
GLR_365,0,0,0,0,0,0,0,0
GLR_367,2349.5525168959,2346.1960962289,2345.1654107343,2312.9964564944,20.9035684918,20.9035684918,0,1.7047276538
GLR_370,0,0,0,0,1064.83807905,1102.73363328,0,897.619474896
GLR_372,0,0,0,0,0,0,0,0
GLR_373,0,0,0,0,0,0,0,0
GLR_374,211.2963485207,208.1559261813,185.8671579374,145.2372138123,89.8347877372,89.8347877372,0,89.8347877372
GLR_378,230.5816473161,231.7587488774,189.3000353798,191.5790492087,0,0,0,0
GLR_381,684.1080982525,658.7279553819,667.2636458041,556.1280797883,2.5809793204,2.5809793204,0,2.5809793204
GLR_389,3752.8051880289,3741.2069795748,3923.8524813202,3916.7079277428,0.0957070925,0.0957070925,0,0.0957070925
GLR_391,0,0,0,0,0,0,0,0
GLR_392,73.0794171868,71.8743812569,135.3302712625,126.4421435837,0,0,0,0
GLR_393,0,0,0,0,302.940434114,302.940434114,0,302.940434114
MEK_7,12.8304574572,12.8304574572,12.8304574572,12.8304574572,78.6577586414,78.6577586414,0,78.6577586414
MEK_9,202.5539557406,200.9754334272,204.1517034696,201.772694551,195.706204496,195.706204496,0,195.706204496
MEK_10,27.2930608827,27.2930608827,27.2930608827,27.2930608827,0,0,0,0
MEK_11,17.1913331833,17.1913331833,17.1913331833,17.1913331833,0,0,0,0
MEK_12,191.233748475,191.233748475,191.233748475,191.233748475,89.0537730985,89.0537730985,0,89.0537730985
MEK_13,5.0501614366,5.0501614366,5.0501614366,5.0501614366,0,0,0,0
MEK_15,213.7233038545,214.526448633,215.3294669605,213.7233038546,0,0,0,0
MEK_16,1556.5375591146,1503.3712902018,1543.5027961839,1537.0009962563,0,0,27.5280573424,27.5280573424
MEK_17,1408.7807061862,1416.0933943528,1426.6633955261,1404.724726765,0,0,0,0
MEK_18,351.073387126,334.3726443096,359.1890785435,350.2567880965,0,0,0,0
MEK_19,134.9408470072,134.9408470071,134.9408470072,134.9408470072,0,0,0,0
MEK_22,195.5183141166,198.7765092782,198.7765092782,194.7054532619,0,0,0,0
MEK_23,75.6896327673,75.4865042903,76.5030863974,75.4865042903,0,0,0,0
MEK_24,646.1364071172,647.77749506,651.1845235488,642.0517043632,0,0,0,0
MEK_25,924.7005671805,933.4998594059,941.6798708377,926.2921731774,0,638.8862626386,1385.3318525297,1195.3230410476
MEK_28,1969.4905201589,1978.5235665014,1991.2591293599,1966.2163245989,0,0,0,0
MEK_29,66.9506457688,66.9506457687,67.3451882878,66.9506457688,0,0,0,0
MEK_30,814.8642643069,820.6323468309,830.5137607641,812.3948317346,72.6757197055,435.6826477389,498.8938075768,435.682647738
MEK_31,336.3618231226,337.1916582444,340.4981809431,335.5346483885,0,0,0,5.00008923154383E-011
MEK_32,1175.5034149491,1177.9881058933,1198.7072021926,1173.0179515058,0,80.8966089139,202.9589052382,181.5430757204
MEK_33,172.1620309835,303.8336370099,396.3843424043,183.9875451585,0,0,0,0
MEK_34,340.5932844829,496.266560561,559.8397708019,341.1490674291,0,0,0,0
MEK_35,915.1461393456,889.7872032219,929.225597418,903.7087631196,763.475003501,765.791740331,765.791740331,765.791740331
MEK_36,320.0610531101,311.6174704672,320.9157436011,311.1535736329,24.426657746,1578.7757506285,1738.089099066,1653.497037422
MEK_37,764.6650613929,927.0995827906,977.2145449309,741.9782465886,11.4435390575,11.4435390575,11.4435390575,11.4435390575
MEK_38,884.1006899007,865.238907176,887.0902684158,872.0349508904,25.7779501663,25.7779501663,25.7779501663,25.7779501663
MEK_39,600.1515196757,567.6837669201,591.7651124143,576.4947879563,0,0,0,0
MEK_41,576.7262480613,577.5306963663,579.1430872494,577.5306963663,73.963564528,73.963564528,73.963564528,73.963564528
MEK_42,307.993299977,307.993299977,307.993299977,307.993299977,35.9369488908,35.9369488908,35.9369488908,35.9369488908
MEK_43,10.9329249216,0,0,0,0,0,0,0
WAN_1,0,0,0,0,28.166493801,28.166493801,28.166493801,102.480911262
WAN_2,637.9576463099,643.0863853739,640.5220124989,640.5220124989,0,0,50.5920496029,50.5920496032
WAN_3,19415.3567816506,19555.3309589327,19439.9134076017,19512.100809137,2.00088834390044E-010,847.1178234602,932.4737014174,847.1178234604
WAN_4,0,0,0,0,474.5938394238,523.9473773438,474.5938394238,474.5938394238
WAN_5,459.0069634694,468.4300314151,464.1327824701,466.6958103724,232.466053047,251.279641801,232.466053047,251.279641801
WAN_6,0,0,0,0,0,0,54.1629904931,0
WAN_7,113.9317388932,116.4958767525,113.9317388862,114.7862850642,0,0,0,0
WAN_8,53968.1419381774,53842.467912814,53959.1104853367,53927.4208448352,0,511.4417391367,513.930125646,513.930125645
WAN_9,3871.6524316372,3872.4821187123,3871.6524316372,3871.6524316372,0,0,0,0
WAN_14,97504.6097366812,99330.190902278,97485.0264079166,97491.9401371811,0,0,0,0
WAN_15,0,0,0,0,0,169.7303136978,252.5394064535,252.539406454
